locality,state,location
Vernon,OH,"Vernon, OH"
Wadsworth,OH,"Wadsworth, OH"
Warren,OH,"Warren, OH"
Washington,OH,"Washington, OH"
Waterford,OH,"Waterford, OH"
Wauseon,OH,"Wauseon, OH"
Waverly Village,OH,"Waverly Village, OH"
"Wayne, Cherry Valley",OH,"Wayne, Cherry Valley, OH"
Waynesville,OH,"Waynesville, OH"
Wellington,OH,"Wellington, OH"
Wellsville,OH,"Wellsville, OH"
West Canaan,OH,"West Canaan, OH"
West Geneva,OH,"West Geneva, OH"
West Lodi,OH,"West Lodi, OH"
Westerville,OH,"Westerville, OH"
Westfield,OH,"Westfield, OH"
Whipstown,OH,"Whipstown, OH"
Wilberforce,OH,"Wilberforce, OH"
Williamsburg,OH,"Williamsburg, OH"
Williamsfield,OH,"Williamsfield, OH"
Willoughby,OH,"Willoughby, OH"
Wilmington,OH,"Wilmington, OH"
Windham,OH,"Windham, OH"
Windsor,OH,"Windsor, OH"
Woodstock,OH,"Woodstock, OH"
Wooster,OH,"Wooster, OH"
Worthington,OH,"Worthington, OH"
Worthington?,OH,"Worthington?, OH"
Xenia,OH,"Xenia, OH"
Yellow Spring,OH,"Yellow Spring, OH"
Yellow Springs,OH,"Yellow Springs, OH"
Youngstown,OH,"Youngstown, OH"
Zanesville,OH,"Zanesville, OH"
Indian Terr.,OK,"Indian Terr., OK"
Indian Territory - Tallequah,OK,"Indian Territory - Tallequah, OK"
Albany,OR,"Albany, OR"
Amity,OR,"Amity, OR"
Astoria,OR,"Astoria, OR"
Astoria?,OR,"Astoria?, OR"
Benton Co.,OR,"Benton Co., OR"
Butte Creeke,OR,"Butte Creeke, OR"
Clackamas Co.,OR,"Clackamas Co., OR"
Clatsop Co.,OR,"Clatsop Co., OR"
Columbia,OR,"Columbia, OR"
Coos County,OR,"Coos County, OR"
Corvallis,OR,"Corvallis, OR"
Dalles,OR,"Dalles, OR"
Eugene,OR,"Eugene, OR"
Forest Grove,OR,"Forest Grove, OR"
Ft. Klamath,OR,"Ft. Klamath, OR"
Ft. Stevens,OR,"Ft. Stevens, OR"
Ft. Vancouver,OR,"Ft. Vancouver, OR"
Jackson Co.,OR,"Jackson Co., OR"
Jackson County,OR,"Jackson County, OR"
Lapwai,OR,"Lapwai, OR"
Manning/Clatsop Co.,OR,"Manning/Clatsop Co., OR"
Manning/Grant Co,OR,"Manning/Grant Co, OR"
McMinnville,OR,"McMinnville, OR"
Multnomal Masonic Lodge?,OR,"Multnomal Masonic Lodge?, OR"
Oregon City,OR,"Oregon City, OR"
Philomath,OR,"Philomath, OR"
Portland,OR,"Portland, OR"
Protland,OR,"Protland, OR"
Salem,OR,"Salem, OR"
Waiiltpu,OR,"Waiiltpu, OR"
Willamette,OR,"Willamette, OR"
Yam Hill,OR,"Yam Hill, OR"
Allegheny,PA,"Allegheny, PA"
Allegheny City,PA,"Allegheny City, PA"
Allentown,PA,"Allentown, PA"
Altoona,PA,"Altoona, PA"
Andalusia,PA,"Andalusia, PA"
Anderson,PA,"Anderson, PA"
Annville,PA,"Annville, PA"
Ashland,PA,"Ashland, PA"
Attlelborough,PA,"Attlelborough, PA"
Bart Township,PA,"Bart Township, PA"
Beaty,PA,"Beaty, PA"
Bedford,PA,"Bedford, PA"
Beers,PA,"Beers, PA"
Bellefonte,PA,"Bellefonte, PA"
Bethleham,PA,"Bethleham, PA"
Bethlehem,PA,"Bethlehem, PA"
Bettysburg,PA,"Bettysburg, PA"
Birmingham,PA,"Birmingham, PA"
Bloomsburg,PA,"Bloomsburg, PA"
Bridgewater,PA,"Bridgewater, PA"
Bristol,PA,"Bristol, PA"
Brookville,PA,"Brookville, PA"
Brownsville,PA,"Brownsville, PA"
Buckingham,PA,"Buckingham, PA"
Burgettstown,PA,"Burgettstown, PA"
Butler,PA,"Butler, PA"
Camp Hill,PA,"Camp Hill, PA"
Canonsburg,PA,"Canonsburg, PA"
Carbondale,PA,"Carbondale, PA"
Carlisle,PA,"Carlisle, PA"
Centerville,PA,"Centerville, PA"
Chambersburg,PA,"Chambersburg, PA"
Charlestown,PA,"Charlestown, PA"
Chester,PA,"Chester, PA"
Chester Co.,PA,"Chester Co., PA"
Chester Springs,PA,"Chester Springs, PA"
Cnessona,PA,"Cnessona, PA"
Coatsville,PA,"Coatsville, PA"
Collegeville,PA,"Collegeville, PA"
Columbia,PA,"Columbia, PA"
Concordville,PA,"Concordville, PA"
Conewago,PA,"Conewago, PA"
Coudersport,PA,"Coudersport, PA"
Cressona,PA,"Cressona, PA"
Danville,PA,"Danville, PA"
Darby,PA,"Darby, PA"
Dayton,PA,"Dayton, PA"
Dimocksville,PA,"Dimocksville, PA"
Doylestown,PA,"Doylestown, PA"
Easton,PA,"Easton, PA"
Ebensburg,PA,"Ebensburg, PA"
Edinboro,PA,"Edinboro, PA"
Erie,PA,"Erie, PA"
Ernest,PA,"Ernest, PA"
Fallsington,PA,"Fallsington, PA"
Frankford,PA,"Frankford, PA"
Franklin,PA,"Franklin, PA"
Fredericktown,PA,"Fredericktown, PA"
Germantown,PA,"Germantown, PA"
Gettysburg,PA,"Gettysburg, PA"
Girard,PA,"Girard, PA"
Glenside,PA,"Glenside, PA"
Goldsboro,PA,"Goldsboro, PA"
Greensburgh,PA,"Greensburgh, PA"
greenville,PA,"greenville, PA"
Greenville,PA,"Greenville, PA"
Hainesburgh,PA,"Hainesburgh, PA"
Hallenbeck,PA,"Hallenbeck, PA"
Harleysville,PA,"Harleysville, PA"
Harrisburg,PA,"Harrisburg, PA"
Hartford,PA,"Hartford, PA"
Haverford,PA,"Haverford, PA"
Hoboken,PA,"Hoboken, PA"
Honesdale,PA,"Honesdale, PA"
Honeybrook,PA,"Honeybrook, PA"
Honeybrook Township,PA,"Honeybrook Township, PA"
Hopewell,PA,"Hopewell, PA"
Horsham,PA,"Horsham, PA"
Hulmesville,PA,"Hulmesville, PA"
Irvington,PA,"Irvington, PA"
Jenkinstown,PA,"Jenkinstown, PA"
Jenkintown,PA,"Jenkintown, PA"
Jewett,PA,"Jewett, PA"
Johnstown,PA,"Johnstown, PA"
Kennett Square,PA,"Kennett Square, PA"
King of Prussia,PA,"King of Prussia, PA"
Kittaning,PA,"Kittaning, PA"
Kittanning,PA,"Kittanning, PA"
Lamberton,PA,"Lamberton, PA"
Lancanster,PA,"Lancanster, PA"
Lancaster,PA,"Lancaster, PA"
Lanchaster,PA,"Lanchaster, PA"
Latrobe,PA,"Latrobe, PA"
Lebanon,PA,"Lebanon, PA"
Lewisburg,PA,"Lewisburg, PA"
Lewistown,PA,"Lewistown, PA"
Littlestown,PA,"Littlestown, PA"
Lock Haven,PA,"Lock Haven, PA"
London Grove,PA,"London Grove, PA"
London Grove Township,PA,"London Grove Township, PA"
Londongrove,PA,"Londongrove, PA"
Loretto,PA,"Loretto, PA"
Lower Merion,PA,"Lower Merion, PA"
Makefield,PA,"Makefield, PA"
Manayunk,PA,"Manayunk, PA"
Manch Chunk,PA,"Manch Chunk, PA"
Manheim,PA,"Manheim, PA"
Marietta,PA,"Marietta, PA"
Mauch Chunk?,PA,"Mauch Chunk?, PA"
McAlisterville,PA,"McAlisterville, PA"
Meadville,PA,"Meadville, PA"
Mechanicsburg,PA,"Mechanicsburg, PA"
Media,PA,"Media, PA"
Mercersburg,PA,"Mercersburg, PA"
Merion,PA,"Merion, PA"
Mingo Creek?,PA,"Mingo Creek?, PA"
Monongahela,PA,"Monongahela, PA"
Montgomery,PA,"Montgomery, PA"
Montgomery Twp.,PA,"Montgomery Twp., PA"
Montrose,PA,"Montrose, PA"
Mountville,PA,"Mountville, PA"
Mt. Joy,PA,"Mt. Joy, PA"
Mt. Pleasant,PA,"Mt. Pleasant, PA"
Muncy,PA,"Muncy, PA"
Nazareth,PA,"Nazareth, PA"
New Bedford,PA,"New Bedford, PA"
New Berlin,PA,"New Berlin, PA"
New Brighton,PA,"New Brighton, PA"
New Castle,PA,"New Castle, PA"
New London,PA,"New London, PA"
New London Township,PA,"New London Township, PA"
New Wilmington,PA,"New Wilmington, PA"
Newtown,PA,"Newtown, PA"
Nicetown,PA,"Nicetown, PA"
Norristown,PA,"Norristown, PA"
North East,PA,"North East, PA"
Oil City,PA,"Oil City, PA"
Orwigsboro,PA,"Orwigsboro, PA"
Oxford,PA,"Oxford, PA"
Palmer,PA,"Palmer, PA"
Paradise Township,PA,"Paradise Township, PA"
Peach Bottom,PA,"Peach Bottom, PA"
Penn's Square,PA,"Penn's Square, PA"
Perkioman Bridge,PA,"Perkioman Bridge, PA"
Perkiomen,PA,"Perkiomen, PA"
phiadelphia,PA,"phiadelphia, PA"
Philadelphia,PA,"Philadelphia, PA"
Philadelphia?,PA,"Philadelphia?, PA"
Philadephia,PA,"Philadephia, PA"
Philipsburg,PA,"Philipsburg, PA"
Phoenixville,PA,"Phoenixville, PA"
Pittsburgh,PA,"Pittsburgh, PA"
Pittston,PA,"Pittston, PA"
Plumstead Twp.,PA,"Plumstead Twp., PA"
Plymouth,PA,"Plymouth, PA"
Port Carbon,PA,"Port Carbon, PA"
Pottstown,PA,"Pottstown, PA"
pottsville,PA,"pottsville, PA"
Pottsville,PA,"Pottsville, PA"
Quakertown,PA,"Quakertown, PA"
Radnor,PA,"Radnor, PA"
Radnor Twp.,PA,"Radnor Twp., PA"
Reading,PA,"Reading, PA"
Renova,PA,"Renova, PA"
Renovo,PA,"Renovo, PA"
Roxborough,PA,"Roxborough, PA"
Scranton,PA,"Scranton, PA"
Selin's Grove,PA,"Selin's Grove, PA"
Semin's Grove,PA,"Semin's Grove, PA"
Sewickley,PA,"Sewickley, PA"
Shenango,PA,"Shenango, PA"
Shippensberg,PA,"Shippensberg, PA"
Shippensburg,PA,"Shippensburg, PA"
Somerset,PA,"Somerset, PA"
South Bethlehem,PA,"South Bethlehem, PA"
South Hermitage,PA,"South Hermitage, PA"
Spring Garden,PA,"Spring Garden, PA"
Springfield,PA,"Springfield, PA"
St. Clair,PA,"St. Clair, PA"
St. Mary's,PA,"St. Mary's, PA"
Stroudsburg,PA,"Stroudsburg, PA"
Susquehanna,PA,"Susquehanna, PA"
Susquehanna Depot,PA,"Susquehanna Depot, PA"
Swarthmore,PA,"Swarthmore, PA"
Tamaqua,PA,"Tamaqua, PA"
Tarentum,PA,"Tarentum, PA"
Ten Mile (Washington Co.),PA,"Ten Mile (Washington Co.), PA"
Tidionte,PA,"Tidionte, PA"
Tioga,PA,"Tioga, PA"
Titusville,PA,"Titusville, PA"
Towanda,PA,"Towanda, PA"
Uniontown,PA,"Uniontown, PA"
Unionville,PA,"Unionville, PA"
Upland,PA,"Upland, PA"
Uplands,PA,"Uplands, PA"
Upper Dublin,PA,"Upper Dublin, PA"
Villanova,PA,"Villanova, PA"
Warren,PA,"Warren, PA"
Washington,PA,"Washington, PA"
Washington Co.,PA,"Washington Co., PA"
Washington County,PA,"Washington County, PA"
Wayne,PA,"Wayne, PA"
Waynesboro,PA,"Waynesboro, PA"
Waynesburg,PA,"Waynesburg, PA"
Wellsboro,PA,"Wellsboro, PA"
West Chester,PA,"West Chester, PA"
West Chester Borough,PA,"West Chester Borough, PA"
West Grove,PA,"West Grove, PA"
Westchester,PA,"Westchester, PA"
Whitpain,PA,"Whitpain, PA"
Wilkes Barre,PA,"Wilkes Barre, PA"
Wilkes-Barre,PA,"Wilkes-Barre, PA"
Williamsport,PA,"Williamsport, PA"
Wormelsdorf,PA,"Wormelsdorf, PA"
Wormelsdorf?,PA,"Wormelsdorf?, PA"
Wyoming,PA,"Wyoming, PA"
Yardleyville,PA,"Yardleyville, PA"
York,PA,"York, PA"
NA,PA,"NA, PA"
Anthony,RI,"Anthony, RI"
Ashaway,RI,"Ashaway, RI"
Ashton,RI,"Ashton, RI"
Barrington,RI,"Barrington, RI"
Bristol,RI,"Bristol, RI"
Briston,RI,"Briston, RI"
Burrellville,RI,"Burrellville, RI"
Burrillville,RI,"Burrillville, RI"
Camden,RI,"Camden, RI"
Central Falls,RI,"Central Falls, RI"
Centredale,RI,"Centredale, RI"
Charlestown,RI,"Charlestown, RI"
Chepacket,RI,"Chepacket, RI"
Coventry,RI,"Coventry, RI"
Cranston,RI,"Cranston, RI"
Cumberland,RI,"Cumberland, RI"
Cumberland Hill,RI,"Cumberland Hill, RI"
East Greenwich,RI,"East Greenwich, RI"
East Providence,RI,"East Providence, RI"
Exeter,RI,"Exeter, RI"
Fort Adams,RI,"Fort Adams, RI"
Foster,RI,"Foster, RI"
Glocester,RI,"Glocester, RI"
Greenwich,RI,"Greenwich, RI"
Harrisville,RI,"Harrisville, RI"
Hopkinton,RI,"Hopkinton, RI"
Hopkinton and Richmond,RI,"Hopkinton and Richmond, RI"
Jamestown,RI,"Jamestown, RI"
Johnston,RI,"Johnston, RI"
Kingston,RI,"Kingston, RI"
Knightsville,RI,"Knightsville, RI"
Lansdale,RI,"Lansdale, RI"
Little Compton,RI,"Little Compton, RI"
Lonsdale,RI,"Lonsdale, RI"
Manville,RI,"Manville, RI"
Middletown,RI,"Middletown, RI"
Mt. Hope,RI,"Mt. Hope, RI"
New Shoreham,RI,"New Shoreham, RI"
Newport,RI,"Newport, RI"
North Kingstown,RI,"North Kingstown, RI"
North Scituate,RI,"North Scituate, RI"
North Shoreham,RI,"North Shoreham, RI"
North Smithfield,RI,"North Smithfield, RI"
Old Warwick,RI,"Old Warwick, RI"
Olneyville,RI,"Olneyville, RI"
Pawtucket,RI,"Pawtucket, RI"
Pawtuxet,RI,"Pawtuxet, RI"
Peacedale,RI,"Peacedale, RI"
Phoenix,RI,"Phoenix, RI"
Phoenix?,RI,"Phoenix?, RI"
Portsmouth,RI,"Portsmouth, RI"
Providence,RI,"Providence, RI"
Scituate,RI,"Scituate, RI"
Sharren,RI,"Sharren, RI"
Slatensville,RI,"Slatensville, RI"
Slatersville,RI,"Slatersville, RI"
Smithfield,RI,"Smithfield, RI"
South Kingston,RI,"South Kingston, RI"
South Kingstown,RI,"South Kingstown, RI"
Tiventon,RI,"Tiventon, RI"
Tiverton,RI,"Tiverton, RI"
Union,RI,"Union, RI"
Warren,RI,"Warren, RI"
Warwick,RI,"Warwick, RI"
West Greenwich,RI,"West Greenwich, RI"
Westerly,RI,"Westerly, RI"
Wickford,RI,"Wickford, RI"
Woonsocket,RI,"Woonsocket, RI"
Woonsocket Falls,RI,"Woonsocket Falls, RI"
NA,RI,"NA, RI"
Abbeville Dist.,SC,"Abbeville Dist., SC"
Abbeville Dist. (or county),SC,"Abbeville Dist. (or county), SC"
Barnwell,SC,"Barnwell, SC"
Beaufort,SC,"Beaufort, SC"
Berkeley Co.,SC,"Berkeley Co., SC"
Camden,SC,"Camden, SC"
Charleston,SC,"Charleston, SC"
Chatham,SC,"Chatham, SC"
Cheram,SC,"Cheram, SC"
Cheraw,SC,"Cheraw, SC"
Chester dist. (or county),SC,"Chester dist. (or county), SC"
Clinton,SC,"Clinton, SC"
Columbia,SC,"Columbia, SC"
Deal,SC,"Deal, SC"
Due West,SC,"Due West, SC"
Duw West,SC,"Duw West, SC"
Edgefield,SC,"Edgefield, SC"
Edisto Island (near Charleston),SC,"Edisto Island (near Charleston), SC"
Fair Forest,SC,"Fair Forest, SC"
Fairfield County,SC,"Fairfield County, SC"
Georgetown,SC,"Georgetown, SC"
Gravesend,SC,"Gravesend, SC"
Greenfield,SC,"Greenfield, SC"
Greenville,SC,"Greenville, SC"
Greenville Co.,SC,"Greenville Co., SC"
Greenwood,SC,"Greenwood, SC"
Hamburgh,SC,"Hamburgh, SC"
Indian Land,SC,"Indian Land, SC"
James Island,SC,"James Island, SC"
Laurens,SC,"Laurens, SC"
lexington,SC,"lexington, SC"
Lexington,SC,"Lexington, SC"
Mayesville,SC,"Mayesville, SC"
Newberry,SC,"Newberry, SC"
Pendleton,SC,"Pendleton, SC"
Pineville,SC,"Pineville, SC"
Port Royall,SC,"Port Royall, SC"
Prince Williams,SC,"Prince Williams, SC"
Santee,SC,"Santee, SC"
Society Hill,SC,"Society Hill, SC"
Spartanburg,SC,"Spartanburg, SC"
St. Bartholomew,SC,"St. Bartholomew, SC"
St. George,SC,"St. George, SC"
St. John,SC,"St. John, SC"
Stateburgh,SC,"Stateburgh, SC"
Statesburgh,SC,"Statesburgh, SC"
Sumterville,SC,"Sumterville, SC"
Sumterville (Sumter),SC,"Sumterville (Sumter), SC"
Union,SC,"Union, SC"
Waccamaw,SC,"Waccamaw, SC"
Walhalla,SC,"Walhalla, SC"
Walterboro,SC,"Walterboro, SC"
Welsh Neck,SC,"Welsh Neck, SC"
Williamsburg,SC,"Williamsburg, SC"
Winnsboro,SC,"Winnsboro, SC"
Winyah,SC,"Winyah, SC"
York Dist.,SC,"York Dist., SC"
York Dist. (or county),SC,"York Dist. (or county), SC"
NA,SC,"NA, SC"
Aberdeen,SD,"Aberdeen, SD"
Ft. Randall,SD,"Ft. Randall, SD"
Ft. Sully,SD,"Ft. Sully, SD"
Ft. Wadsworth,SD,"Ft. Wadsworth, SD"
Yankton,SD,"Yankton, SD"
Athens,TN,"Athens, TN"
Briston,TN,"Briston, TN"
Charlotte,TN,"Charlotte, TN"
Chattanooga,TN,"Chattanooga, TN"
Clarksville,TN,"Clarksville, TN"
Columbia,TN,"Columbia, TN"
Culleoka,TN,"Culleoka, TN"
Dyersburg,TN,"Dyersburg, TN"
Edgefield,TN,"Edgefield, TN"
Fayetteville,TN,"Fayetteville, TN"
Fountain,TN,"Fountain, TN"
Franklin,TN,"Franklin, TN"
Franklin College,TN,"Franklin College, TN"
Gallatin,TN,"Gallatin, TN"
Greeneville,TN,"Greeneville, TN"
Greenville,TN,"Greenville, TN"
Irving College,TN,"Irving College, TN"
Jackson,TN,"Jackson, TN"
Knoxville,TN,"Knoxville, TN"
Knoxville Lib.,TN,"Knoxville Lib., TN"
LaGrange,TN,"LaGrange, TN"
lebanon,TN,"lebanon, TN"
Lebanon,TN,"Lebanon, TN"
Madisonville,TN,"Madisonville, TN"
Maryville,TN,"Maryville, TN"
Massy Creek,TN,"Massy Creek, TN"
McKenzie,TN,"McKenzie, TN"
McMinnville,TN,"McMinnville, TN"
memphis,TN,"memphis, TN"
Memphis,TN,"Memphis, TN"
Mifflin,TN,"Mifflin, TN"
Mossy Creek,TN,"Mossy Creek, TN"
Murfreesboro,TN,"Murfreesboro, TN"
Nashville,TN,"Nashville, TN"
Pulaski,TN,"Pulaski, TN"
Savannah,TN,"Savannah, TN"
Sewanee,TN,"Sewanee, TN"
Somerville,TN,"Somerville, TN"
Stockton,TN,"Stockton, TN"
Trenton,TN,"Trenton, TN"
Tusculum,TN,"Tusculum, TN"
Washington County,TN,"Washington County, TN"
Williamsport,TN,"Williamsport, TN"
Winchester,TN,"Winchester, TN"
NA,TN,"NA, TN"
Austin,TX,"Austin, TX"
Bastrop,TX,"Bastrop, TX"
Belton,TX,"Belton, TX"
Brownsville,TX,"Brownsville, TX"
Chapel Hill,TX,"Chapel Hill, TX"
Clarksville,TX,"Clarksville, TX"
College Station,TX,"College Station, TX"
Content,TX,"Content, TX"
Corsicana,TX,"Corsicana, TX"
Dallas,TX,"Dallas, TX"
Fort Worth,TX,"Fort Worth, TX"
Ft. Clark,TX,"Ft. Clark, TX"
Galveston,TX,"Galveston, TX"
Georgetown,TX,"Georgetown, TX"
Henderson,TX,"Henderson, TX"
houston,TX,"houston, TX"
Houston,TX,"Houston, TX"
Huntsville,TX,"Huntsville, TX"
Independence,TX,"Independence, TX"
Jefferson,TX,"Jefferson, TX"
Leon County,TX,"Leon County, TX"
Liberty County,TX,"Liberty County, TX"
Marshall,TX,"Marshall, TX"
Matagorda,TX,"Matagorda, TX"
near San Antonio,TX,"near San Antonio, TX"
New Braunfels,TX,"New Braunfels, TX"
Nocogdoches,TX,"Nocogdoches, TX"
Phantom Hill,TX,"Phantom Hill, TX"
Rio Grande,TX,"Rio Grande, TX"
Rutersville,TX,"Rutersville, TX"
San Antonio,TX,"San Antonio, TX"
Sherman,TX,"Sherman, TX"
Sisterdale,TX,"Sisterdale, TX"
tehuacana,TX,"tehuacana, TX"
Tehuacana,TX,"Tehuacana, TX"
Tyler,TX,"Tyler, TX"
Waco,TX,"Waco, TX"
Waxahachie,TX,"Waxahachie, TX"
NA,TX,"NA, TX"
Alpine City,UT,"Alpine City, UT"
American Fork,UT,"American Fork, UT"
Beaver,UT,"Beaver, UT"
Beaver City,UT,"Beaver City, UT"
Cedar City,UT,"Cedar City, UT"
Coalville,UT,"Coalville, UT"
Desaret City,UT,"Desaret City, UT"
Ephraim,UT,"Ephraim, UT"
Fillmore,UT,"Fillmore, UT"
Gardnersville,UT,"Gardnersville, UT"
Gunnison,UT,"Gunnison, UT"
Harrisburg,UT,"Harrisburg, UT"
Lehi,UT,"Lehi, UT"
Logan,UT,"Logan, UT"
Manti,UT,"Manti, UT"
Minersville,UT,"Minersville, UT"
Moroni,UT,"Moroni, UT"
Mount Pleasant,UT,"Mount Pleasant, UT"
Nephi,UT,"Nephi, UT"
Ogden City,UT,"Ogden City, UT"
Parowan,UT,"Parowan, UT"
Payson,UT,"Payson, UT"
Provo,UT,"Provo, UT"
Rockville,UT,"Rockville, UT"
Salt Lake City,UT,"Salt Lake City, UT"
Spanish Forks,UT,"Spanish Forks, UT"
Springville,UT,"Springville, UT"
St. George,UT,"St. George, UT"
Tooele,UT,"Tooele, UT"
Toquersville,UT,"Toquersville, UT"
Washington,UT,"Washington, UT"
Abington,VA,"Abington, VA"
Alexandria,VA,"Alexandria, VA"
Ashland,VA,"Ashland, VA"
Aylett's,VA,"Aylett's, VA"
Berryville,VA,"Berryville, VA"
Blacksburg,VA,"Blacksburg, VA"
Boydtown,VA,"Boydtown, VA"
Bruton,VA,"Bruton, VA"
Charlotesville,VA,"Charlotesville, VA"
Charlottesville,VA,"Charlottesville, VA"
Charlottesville?,VA,"Charlottesville?, VA"
Christiansburg,VA,"Christiansburg, VA"
Dimveddie?,VA,"Dimveddie?, VA"
emory,VA,"emory, VA"
Emory,VA,"Emory, VA"
Fairfax,VA,"Fairfax, VA"
Fairfax County,VA,"Fairfax County, VA"
Fort Monroe,VA,"Fort Monroe, VA"
Frederickburg,VA,"Frederickburg, VA"
Fredricksburg,VA,"Fredricksburg, VA"
Front Royal,VA,"Front Royal, VA"
Gate City,VA,"Gate City, VA"
Germanna,VA,"Germanna, VA"
Hampden Sidney,VA,"Hampden Sidney, VA"
Hampden Sydney,VA,"Hampden Sydney, VA"
Hampton,VA,"Hampton, VA"
Harrisonburg,VA,"Harrisonburg, VA"
Hillsborough (now Hillsboro),VA,"Hillsborough (now Hillsboro), VA"
Hollins,VA,"Hollins, VA"
Jeffersonville (now Tazemell),VA,"Jeffersonville (now Tazemell), VA"
Kikotan,VA,"Kikotan, VA"
King George's Co.,VA,"King George's Co., VA"
Leeds,VA,"Leeds, VA"
Lewisburg,VA,"Lewisburg, VA"
Lexington,VA,"Lexington, VA"
Lynchburg,VA,"Lynchburg, VA"
Madison,VA,"Madison, VA"
Manicantown,VA,"Manicantown, VA"
New Market,VA,"New Market, VA"
Norfolk,VA,"Norfolk, VA"
Orange Co.,VA,"Orange Co., VA"
Orange County,VA,"Orange County, VA"
Palmyra,VA,"Palmyra, VA"
Petersburg,VA,"Petersburg, VA"
Portsmouth,VA,"Portsmouth, VA"
Richmond,VA,"Richmond, VA"
Romney,VA,"Romney, VA"
Salem,VA,"Salem, VA"
St. Staunton,VA,"St. Staunton, VA"
Staunton,VA,"Staunton, VA"
Warm Springs,VA,"Warm Springs, VA"
Williamsburg,VA,"Williamsburg, VA"
Winchester,VA,"Winchester, VA"
NA,VA,"NA, VA"
Andover,VT,"Andover, VT"
Arlington,VT,"Arlington, VT"
Barnard,VT,"Barnard, VT"
Barnet,VT,"Barnet, VT"
Barre,VT,"Barre, VT"
Bennington,VT,"Bennington, VT"
Benson,VT,"Benson, VT"
Bradford,VT,"Bradford, VT"
Brandon,VT,"Brandon, VT"
Brattleboro,VT,"Brattleboro, VT"
Brattleborough,VT,"Brattleborough, VT"
Brookfield,VT,"Brookfield, VT"
burlington,VT,"burlington, VT"
Burlington,VT,"Burlington, VT"
Calais,VT,"Calais, VT"
Cavendish,VT,"Cavendish, VT"
Chelsea,VT,"Chelsea, VT"
Chester,VT,"Chester, VT"
Cornwall,VT,"Cornwall, VT"
Derby,VT,"Derby, VT"
Dorset,VT,"Dorset, VT"
East Calais,VT,"East Calais, VT"
East Dorset,VT,"East Dorset, VT"
Fair Haven,VT,"Fair Haven, VT"
Felchville,VT,"Felchville, VT"
Grafton,VT,"Grafton, VT"
Grand-Isle,VT,"Grand-Isle, VT"
Guilford,VT,"Guilford, VT"
Hartford,VT,"Hartford, VT"
Hinesburgh,VT,"Hinesburgh, VT"
Hyde Park,VT,"Hyde Park, VT"
Irasburg,VT,"Irasburg, VT"
Lowell,VT,"Lowell, VT"
Lunenburgh,VT,"Lunenburgh, VT"
Manchester,VT,"Manchester, VT"
Marlborough,VT,"Marlborough, VT"
Middleburg,VT,"Middleburg, VT"
Middlebury,VT,"Middlebury, VT"
Middletown Springs,VT,"Middletown Springs, VT"
Montpelier,VT,"Montpelier, VT"
New Hampton,VT,"New Hampton, VT"
New Haven,VT,"New Haven, VT"
Newbury,VT,"Newbury, VT"
Newfone,VT,"Newfone, VT"
Northfield,VT,"Northfield, VT"
Orwell,VT,"Orwell, VT"
Pawlet,VT,"Pawlet, VT"
Peacham,VT,"Peacham, VT"
Pittsfield,VT,"Pittsfield, VT"
Pittsford,VT,"Pittsford, VT"
Pomfret,VT,"Pomfret, VT"
Post Mills Village,VT,"Post Mills Village, VT"
Poultney,VT,"Poultney, VT"
Proctorsville,VT,"Proctorsville, VT"
Reading,VT,"Reading, VT"
Rochester,VT,"Rochester, VT"
Rockingham,VT,"Rockingham, VT"
Royalton,VT,"Royalton, VT"
Rupert,VT,"Rupert, VT"
Rutland,VT,"Rutland, VT"
Ryegate,VT,"Ryegate, VT"
Shoreham,VT,"Shoreham, VT"
Springfield,VT,"Springfield, VT"
St. Albans,VT,"St. Albans, VT"
St. Johnsburg,VT,"St. Johnsburg, VT"
St. Johnsbury,VT,"St. Johnsbury, VT"
Stafford,VT,"Stafford, VT"
Stowe,VT,"Stowe, VT"
Sutton,VT,"Sutton, VT"
Thetford,VT,"Thetford, VT"
Vergennes,VT,"Vergennes, VT"
Vernon,VT,"Vernon, VT"
Wallingford,VT,"Wallingford, VT"
Wells River,VT,"Wells River, VT"
West Randolph,VT,"West Randolph, VT"
West Windsor,VT,"West Windsor, VT"
Weston,VT,"Weston, VT"
Williamstown,VT,"Williamstown, VT"
Wilmington,VT,"Wilmington, VT"
Windsor,VT,"Windsor, VT"
Woodstock,VT,"Woodstock, VT"
Astoria,WA,"Astoria, WA"
Colville,WA,"Colville, WA"
Ft. Vancouver,WA,"Ft. Vancouver, WA"
Olympia,WA,"Olympia, WA"
Port Madison,WA,"Port Madison, WA"
Seattle,WA,"Seattle, WA"
Spokane,WA,"Spokane, WA"
Steilacoom,WA,"Steilacoom, WA"
Vancouver,WA,"Vancouver, WA"
Walla Walla,WA,"Walla Walla, WA"
Washington City,WA,"Washington City, WA"
Allen's Grove,WI,"Allen's Grove, WI"
Appleton,WI,"Appleton, WI"
Astor,WI,"Astor, WI"
Bayfield,WI,"Bayfield, WI"
Beaver Dam,WI,"Beaver Dam, WI"
Belleville,WI,"Belleville, WI"
Beloit,WI,"Beloit, WI"
Black River Falls,WI,"Black River Falls, WI"
Bloomington,WI,"Bloomington, WI"
De Pere,WI,"De Pere, WI"
Delafield / Nashotah,WI,"Delafield / Nashotah, WI"
Delavan,WI,"Delavan, WI"
Du Lac,WI,"Du Lac, WI"
Eau Claire,WI,"Eau Claire, WI"
Fond du Lac,WI,"Fond du Lac, WI"
